,YEAR,JOB_TITLE,BRANCH,JOB_LOCATION,LOC_STATE,LOC_REGION
2814,2019,Construction engineer,MEC,Puri,Orissa,Central
2815,2013,Service engineer,ECE,Kolkata,West Bengal,East
2816,2014,Web developer,CSE/IT,Panipat,Haryana,West
2817,2019,Field test engineer,ECE,Panipat,Haryana,West
2818,2017,Environmental engineer,CIV,Bilaspur,Himachal Pradesh,North
2819,2011,Thermal engineer,MEC,Chennai,Tamil Nadu,South
2820,2012,Controls engineer,EEE,Raipur,Chattisgarh,Central
2821,2018,Construction manager,CIV,Jammu,Jammu and Kashmir,North
2822,2012,IT project manager,CSE/IT,Srinagar,Jammu and Kashmir,North
2823,2016,Chemical plant director,CHEM,Gurgaon,Haryana,West
2824,2013,Instrumentation engineer,ECE,Jamshedpur,Jharkhnad,Central
2825,2015,Network planning engineer,ECE,Dharwad,Karnataka,South
2826,2014,Computer network architect,CSE/IT,Bilaspur,Himachal Pradesh,North
2827,2018,Geotechnical engineer,CIV,Dhanbad,Jharkhnad,Central
2828,2018,Electrical engineer,EEE,Nellore,Andhra Pradesh,South
2829,2012,Process design engineer,CHEM,Dehradun,Uttarakhand,North
2830,2012,Production engineer,MEC,Bilaspur,Himachal Pradesh,North
2831,2018,Hardware engineer,EEE,Bilaspur,Himachal Pradesh,North
2832,2012,Hardware engineer,EEE,Jodhpur,Rajasthan,West
2833,2013,Petroleum engineer,CHEM,Udaipur,Rajasthan,West
2834,2018,Communication engineer,ECE,Raipur,Chattisgarh,Central
2835,2012,Process design engineer,CHEM,Aizawal,Seven Sisters,East
2836,2012,Structural engineer,MEC,Rourkela,Orissa,Central
2837,2020,Software developer,CSE/IT,Hyderabad,Telangana,South
2838,2016,Material engineer,CHEM,Gwalior,Madhya Pradesh,Central
2839,2017,Electrical engineer,EEE,Raipur,Chattisgarh,Central
2840,2012,AI engineer,CSE/IT,Jammu,Jammu and Kashmir,North
2841,2014,Structural engineer,MEC,Jalandhar,Punjab,North
2842,2015,Production engineer,MEC,Jaipur,Rajasthan,West
2843,2019,Controls engineer,EEE,Jodhpur,Rajasthan,West
2844,2021,Database administrator,CSE/IT,Shillong,Seven Sisters,East
2845,2016,Plant process engineer,CHEM,Chandigarh,Punjab,North
2846,2013,Manufacturing engineer,MEC,Khammam,Telangana,South
2847,2020,Public health engineer,CIV,Panipat,Haryana,West
2848,2019,Controls engineer,EEE,Visakhapatnam,Andhra Pradesh,South
2849,2011,Manufacturing engineer,MEC,Jammu,Jammu and Kashmir,North
2850,2013,Electrical project manager,EEE,Haridwar,Uttarakhand,North
2851,2014,Chemical plant director,CHEM,Haridwar,Uttarakhand,North
2852,2017,Management consultant,MEC,Warangal,Telangana,South
2853,2012,Aerospace engineer,MEC,Itanagar,Seven Sisters,East
2854,2021,Hardware engineer,EEE,Kohina,Seven Sisters,East
2855,2020,Hardware engineer,EEE,Allahabad,Uttar Pradesh,North
2856,2021,UX designer,CSE/IT,Guwahati,Seven Sisters,East
2857,2013,Computer network architect,CSE/IT,Warangal,Telangana,South
2858,2016,Land surveyor,CIV,Nellore,Andhra Pradesh,South
2859,2014,Controls engineer,EEE,Puri,Orissa,Central
2860,2012,Electrical project manager,EEE,Dharwad,Karnataka,South
2861,2013,Geotechnical engineer,CIV,Gandhinagar,Gujarat,West
2862,2017,AI engineer,CSE/IT,Gurgaon,Haryana,West
2863,2015,Public health engineer,CIV,Bilaspur,Himachal Pradesh,North
2864,2020,Structural engineer,MEC,Kochi,Kerala,South
2865,2015,Network planning engineer,ECE,Kolkata,West Bengal,East
2866,2016,Telecommunication engineer,EEE,Vadodara,Gujarat,West
2867,2015,Construction manager,CIV,Allahabad,Uttar Pradesh,North
2868,2018,Embedded system engineer,ECE,Kolkata,West Bengal,East
2869,2015,Embedded system engineer,ECE,Panipat,Haryana,West
2870,2014,Electrical engineer,EEE,Gwalior,Madhya Pradesh,Central
2871,2012,Broadcast engineer,EEE,Haridwar,Uttarakhand,North
2872,2011,Construction engineer,MEC,Bhopal,Madhya Pradesh,Central
2873,2021,Construction engineer,MEC,Mumbai,Maharashtra,Central
2874,2017,Chemical plant director,CHEM,Tirupathi,Andhra Pradesh,South
2875,2021,App developer,CSE/IT,Tirupathi,Andhra Pradesh,South
2876,2015,Drafter,CIV,Vijayawada,Andhra Pradesh,South
2877,2015,Computer network architect,CSE/IT,Dharwad,Karnataka,South
2878,2015,Systems engineer,EEE,Imphal,Seven Sisters,East
2879,2011,Network planning engineer,ECE,Rourkela,Orissa,Central
2880,2011,Management consultant,MEC,Madurai,Tamil Nadu,South
2881,2011,Network planning engineer,ECE,Jaipur,Rajasthan,West
2882,2011,Plant process engineer,CHEM,Chennai,Tamil Nadu,South
2883,2015,Instrumentation engineer,ECE,Jammu,Jammu and Kashmir,North
2884,2021,Construction manager,CIV,Mysore,Karnataka,South
2885,2020,Process design engineer,CHEM,Allahabad,Uttar Pradesh,North
2886,2021,Service engineer,ECE,Amritsar,Punjab,North
2887,2013,Service engineer,ECE,Raigarh,Chattisgarh,Central
2888,2014,Drafter,CIV,Imphal,Seven Sisters,East
2889,2019,Service engineer,ECE,Indore,Madhya Pradesh,Central
2890,2011,Instrumentation engineer,ECE,Jaipur,Rajasthan,West
2891,2014,Chemical plant director,CHEM,Gwalior,Madhya Pradesh,Central
2892,2014,Service engineer,ECE,Raipur,Chattisgarh,Central
2893,2015,Systems engineer,EEE,Panaji,Goa,South
2894,2016,Geotechnical engineer,CIV,Jammu,Jammu and Kashmir,North
2895,2020,Structural engineer,MEC,Thiruvananthapuram,Kerala,South
2896,2014,Plant process engineer,CHEM,Imphal,Seven Sisters,East
2897,2014,Web developer,CSE/IT,Patna,Bihar,Central
2898,2020,Systems engineer,EEE,Indore,Madhya Pradesh,Central
2899,2016,Process safety engineer,CHEM,Jammu,Jammu and Kashmir,North
2900,2016,AI engineer,CSE/IT,Silchar,Seven Sisters,East
2901,2020,Process safety engineer,CHEM,Roorkee,Uttarakhand,North
2902,2013,UX designer,CSE/IT,Jammu,Jammu and Kashmir,North
2903,2017,App developer,CSE/IT,Dehradun,Uttarakhand,North
2904,2021,Service engineer,ECE,Visakhapatnam,Andhra Pradesh,South
2905,2014,Quality engineer,MEC,Dharwad,Karnataka,South
2906,2020,Land surveyor,CIV,Ahmedabad,Gujarat,West
2907,2019,Database administrator,CSE/IT,Noida,Uttar Pradesh,North
2908,2012,Production engineer,MEC,Raipur,Chattisgarh,Central
2909,2012,Material engineer,CHEM,Gwalior,Madhya Pradesh,Central
2910,2018,Quality engineer,MEC,Kochi,Kerala,South
2911,2021,Communication engineer,ECE,Dharwad,Karnataka,South
2912,2018,Information security analyst,CSE/IT,Mumbai,Maharashtra,Central
2913,2013,Transportation engineer,CIV,Dhanbad,Jharkhnad,Central
2914,2011,Material engineer,CHEM,Patna,Bihar,Central
2915,2011,Database administrator,CSE/IT,Ranchi,Jharkhnad,Central
2916,2012,UX designer,CSE/IT,Kohina,Seven Sisters,East
2917,2019,Thermal engineer,MEC,Kolkata,West Bengal,East
2918,2014,Electrical project manager,EEE,Surat,Gujarat,West
2919,2021,Web developer,CSE/IT,Mysore,Karnataka,South
2920,2011,Hardware engineer,EEE,Chennai,Tamil Nadu,South
2921,2021,Transportation engineer,CIV,Raigarh,Chattisgarh,Central
2922,2020,Urban planning engineer,CIV,Imphal,Seven Sisters,East
2923,2018,Management consultant,MEC,Nellore,Andhra Pradesh,South
2924,2017,Web developer,CSE/IT,Dhanbad,Jharkhnad,Central
2925,2018,Information security analyst,CSE/IT,Panipat,Haryana,West
2926,2011,Chemical engineer,CHEM,Surat,Gujarat,West
2927,2014,Geotechnical engineer,CIV,Tirupathi,Andhra Pradesh,South
2928,2018,Environmental waste management,CHEM,Imphal,Seven Sisters,East
2929,2012,App developer,CSE/IT,Vadodara,Gujarat,West
2930,2020,Microelectrical engineer,EEE,Silchar,Seven Sisters,East
2931,2013,Computer network architect,CSE/IT,Allahabad,Uttar Pradesh,North
2932,2020,Electrical design engineer,EEE,Srinagar,Jammu and Kashmir,North
2933,2014,Engineering management,CIV,Nellore,Andhra Pradesh,South
2934,2020,AI engineer,CSE/IT,Bhubaneswar,Orissa,Central
2935,2016,Transportation engineer,CIV,Gurgaon,Haryana,West
2936,2011,Manufacturing engineer,MEC,Nellore,Andhra Pradesh,South
2937,2021,Chemical plant director,CHEM,Srinagar,Jammu and Kashmir,North
2938,2012,Microelectrical engineer,EEE,Gandhinagar,Gujarat,West
2939,2020,AI engineer,CSE/IT,Howrah,West Bengal,East
2940,2016,Process safety engineer,CHEM,Allahabad,Uttar Pradesh,North
2941,2019,Urban planning engineer,CIV,Silchar,Seven Sisters,East
2942,2011,Product engineer,CHEM,Itanagar,Seven Sisters,East
2943,2012,Material engineer,CHEM,Roorkee,Uttarakhand,North
2944,2015,Architect,CIV,Kochi,Kerala,South
2945,2021,Transportation engineer,CIV,Kochi,Kerala,South
2946,2017,Public health engineer,CIV,Srinagar,Jammu and Kashmir,North
2947,2011,Web developer,CSE/IT,Thiruvananthapuram,Kerala,South
2948,2014,Field test engineer,ECE,Chandigarh,Punjab,North
2949,2011,Product designer,MEC,Udaipur,Rajasthan,West
2950,2013,Service engineer,ECE,Dispur,Seven Sisters,East
2951,2011,Structural engineer,MEC,Nagpur,Maharashtra,Central
2952,2017,Process design engineer,CHEM,Gangtok,Seven Sisters,East
2953,2012,Embedded system engineer,ECE,Kanpur,Uttar Pradesh,North
2954,2014,Product engineer,CHEM,Jammu,Jammu and Kashmir,North
2955,2011,Telecom engineer,ECE,Dharwad,Karnataka,South
2956,2017,Hardware engineer,EEE,Gwalior,Madhya Pradesh,Central
2957,2020,technician,CHEM,Dehradun,Uttarakhand,North
2958,2018,System architect,CSE/IT,Raipur,Chattisgarh,Central
2959,2014,Electrical design engineer,EEE,Gaya,Bihar,Central
2960,2016,Plant process engineer,CHEM,Gandhinagar,Gujarat,West
2961,2015,Urban planning engineer,CIV,Aizawal,Seven Sisters,East
2962,2018,Petroleum engineer,CHEM,Jamshedpur,Jharkhnad,Central
2963,2015,Electrical engineer,EEE,Gwalior,Madhya Pradesh,Central
2964,2011,Electronics engineer,ECE,Vijayawada,Andhra Pradesh,South
2965,2016,Telecom engineer,ECE,Rourkela,Orissa,Central
2966,2020,Aerospace engineer,MEC,Jaipur,Rajasthan,West
2967,2012,Electrical design engineer,EEE,Lucknow,Uttar Pradesh,North
2968,2019,Substation technician,EEE,Warangal,Telangana,South
2969,2018,Software analyst,ECE,Nagpur,Maharashtra,Central
2970,2021,Hardware engineer,EEE,Indore,Madhya Pradesh,Central
2971,2019,Database administrator,CSE/IT,Vijayawada,Andhra Pradesh,South
2972,2012,Land surveyor,CIV,Ranchi,Jharkhnad,Central
2973,2015,Geotechnical engineer,CIV,Itanagar,Seven Sisters,East
2974,2016,Service engineer,ECE,Ahmedabad,Gujarat,West
2975,2015,Environmental waste management,CHEM,Gaya,Bihar,Central
2976,2011,UX designer,CSE/IT,Allahabad,Uttar Pradesh,North
2977,2015,Construction engineer,MEC,Patna,Bihar,Central
2978,2014,Software developer,CSE/IT,Shillong,Seven Sisters,East
2979,2019,Environmental waste management,CHEM,Chennai,Tamil Nadu,South
2980,2018,Transportation engineer,CIV,Warangal,Telangana,South
2981,2018,Process design engineer,CHEM,Itanagar,Seven Sisters,East
2982,2014,Telecom engineer,ECE,Chennai,Tamil Nadu,South
2983,2013,Controls engineer,EEE,Allahabad,Uttar Pradesh,North
2984,2011,Production engineer,MEC,Aizawal,Seven Sisters,East
2985,2018,Electrical design engineer,EEE,Tirupathi,Andhra Pradesh,South
2986,2011,Software developer,CSE/IT,Panaji,Goa,South
2987,2019,Environmental engineer,CIV,Warangal,Telangana,South
2988,2013,Automation engineer,MEC,Puri,Orissa,Central
2989,2018,Construction engineer,MEC,Rourkela,Orissa,Central
2990,2013,Drafter,CIV,Itanagar,Seven Sisters,East
2991,2018,Public health engineer,CIV,Mysore,Karnataka,South
2992,2018,Web developer,CSE/IT,Dispur,Seven Sisters,East
2993,2013,App developer,CSE/IT,Dhanbad,Jharkhnad,Central
2994,2017,Thermal engineer,MEC,Mumbai,Maharashtra,Central
2995,2011,Systems engineer,EEE,Jodhpur,Rajasthan,West
2996,2014,Chemical plant director,CHEM,Bhopal,Madhya Pradesh,Central
2997,2012,Substation technician,EEE,Jamshedpur,Jharkhnad,Central
2998,2012,App developer,CSE/IT,Itanagar,Seven Sisters,East
2999,2012,Software analyst,ECE,Bilaspur,Himachal Pradesh,North
3000,2013,Public health engineer,CIV,Panaji,Goa,South
3001,2021,Urban planning engineer,CIV,Mysore,Karnataka,South
3002,2012,UX designer,CSE/IT,Durgapur,West Bengal,East
3003,2013,Environmental waste management,CHEM,Bengaluru,Karnataka,South
3004,2016,Chemical engineer,CHEM,Jamshedpur,Jharkhnad,Central
3005,2019,Environmental waste management,CHEM,Warangal,Telangana,South
3006,2014,Land surveyor,CIV,Puri,Orissa,Central
3007,2021,Service engineer,ECE,Visakhapatnam,Andhra Pradesh,South
3008,2020,Architect,CIV,Gangtok,Seven Sisters,East
3009,2012,Material engineer,CHEM,Bhopal,Madhya Pradesh,Central
3010,2012,Drafter,CIV,Jaipur,Rajasthan,West
3011,2016,Chemical engineer,CHEM,Kochi,Kerala,South
3012,2017,Electronics engineer,ECE,Gurgaon,Haryana,West
3013,2017,System architect,CSE/IT,Noida,Uttar Pradesh,North
3014,2020,Substation technician,EEE,Kolkata,West Bengal,East
3015,2014,Automation engineer,MEC,Gaya,Bihar,Central
3016,2017,Telecommunication engineer,EEE,Srinagar,Jammu and Kashmir,North
3017,2019,Software analyst,ECE,Jaipur,Rajasthan,West
3018,2013,Geotechnical engineer,CIV,Dehradun,Uttarakhand,North
3019,2019,UX designer,CSE/IT,Puri,Orissa,Central
3020,2016,Broadcast engineer,EEE,Rourkela,Orissa,Central
3021,2011,Instrumentation engineer,ECE,Bhubaneswar,Orissa,Central
3022,2021,Public health engineer,CIV,Mumbai,Maharashtra,Central
3023,2013,Field test engineer,ECE,Raipur,Chattisgarh,Central
3024,2019,Instrumentation engineer,ECE,Ranchi,Jharkhnad,Central
3025,2011,Software analyst,ECE,Indore,Madhya Pradesh,Central
3026,2016,Electronics design engineer,ECE,Ahmedabad,Gujarat,West
3027,2012,Instrumentation engineer,ECE,Imphal,Seven Sisters,East
3028,2019,Land surveyor,CIV,Guwahati,Seven Sisters,East
3029,2019,AI engineer,CSE/IT,Tirupathi,Andhra Pradesh,South
3030,2015,Geotechnical engineer,CIV,Surat,Gujarat,West
3031,2019,Construction manager,CIV,Visakhapatnam,Andhra Pradesh,South
3032,2018,Petroleum engineer,CHEM,Aizawal,Seven Sisters,East
3033,2020,Thermal engineer,MEC,Lucknow,Uttar Pradesh,North
3034,2017,Transportation engineer,CIV,Aizawal,Seven Sisters,East
3035,2011,Aerospace engineer,MEC,Dharwad,Karnataka,South
3036,2019,Electrical engineer,EEE,Aizawal,Seven Sisters,East
3037,2011,Management consultant,MEC,Raigarh,Chattisgarh,Central
3038,2018,Construction manager,CIV,Bhopal,Madhya Pradesh,Central
3039,2016,Product designer,MEC,Bilaspur,Himachal Pradesh,North
3040,2012,Communication engineer,ECE,Bengaluru,Karnataka,South
3041,2019,Telecommunication engineer,EEE,Vijayawada,Andhra Pradesh,South
3042,2015,Substation technician,EEE,Pune,Maharashtra,Central
3043,2015,Drafter,CIV,Bilaspur,Himachal Pradesh,North
3044,2019,Construction engineer,MEC,Chandigarh,Punjab,North
3045,2020,System architect,CSE/IT,Jalandhar,Punjab,North
3046,2020,technician,CHEM,Dispur,Seven Sisters,East
3047,2011,Web developer,CSE/IT,Kolkata,West Bengal,East
3048,2015,Material engineer,CHEM,Imphal,Seven Sisters,East
3049,2011,Embedded system engineer,ECE,Jalandhar,Punjab,North
3050,2018,Production engineer,MEC,Dispur,Seven Sisters,East
3051,2016,Hardware engineer,EEE,Kohina,Seven Sisters,East
3052,2011,Controls engineer,EEE,Chennai,Tamil Nadu,South
3053,2016,Chemical plant director,CHEM,Jammu,Jammu and Kashmir,North
3054,2016,Telecom engineer,ECE,Guwahati,Seven Sisters,East
3055,2019,Software developer,CSE/IT,Nagpur,Maharashtra,Central
3056,2018,Electronics design engineer,ECE,Guwahati,Seven Sisters,East
3057,2017,Structural engineer,MEC,Surat,Gujarat,West
3058,2015,Telecom engineer,ECE,Shimla,Himachal Pradesh,North
3059,2020,Electrical project manager,EEE,Imphal,Seven Sisters,East
3060,2013,Controls engineer,EEE,Aizawal,Seven Sisters,East
3061,2017,Product engineer,CHEM,Kolkata,West Bengal,East
3062,2020,Material engineer,CHEM,Shimla,Himachal Pradesh,North
3063,2020,Broadcast engineer,EEE,Chandigarh,Punjab,North
3064,2015,Transportation engineer,CIV,Jalandhar,Punjab,North
3065,2017,Field test engineer,ECE,Raigarh,Chattisgarh,Central
3066,2018,Chemical engineer,CHEM,Bilaspur,Himachal Pradesh,North
3067,2018,Aerospace engineer,MEC,Hyderabad,Telangana,South
3068,2019,Microelectrical engineer,EEE,Chennai,Tamil Nadu,South
3069,2015,Automation engineer,MEC,Bhopal,Madhya Pradesh,Central
3070,2020,Manufacturing engineer,MEC,Jammu,Jammu and Kashmir,North
3071,2017,Thermal engineer,MEC,Gandhinagar,Gujarat,West
3072,2014,Urban planning engineer,CIV,Bilaspur,Himachal Pradesh,North
3073,2017,Urban planning engineer,CIV,Ranchi,Jharkhnad,Central
3074,2020,System architect,CSE/IT,Warangal,Telangana,South
3075,2013,Substation technician,EEE,Bengaluru,Karnataka,South
3076,2021,Construction engineer,MEC,Patna,Bihar,Central
3077,2013,Controls engineer,EEE,Silchar,Seven Sisters,East
3078,2013,Network planning engineer,ECE,Srinagar,Jammu and Kashmir,North
3079,2018,Instrumentation engineer,ECE,Haridwar,Uttarakhand,North
3080,2017,technician,CHEM,Raipur,Chattisgarh,Central
3081,2020,Environmental engineer,CIV,Shillong,Seven Sisters,East
3082,2021,Database administrator,CSE/IT,Jalandhar,Punjab,North
3083,2014,Field test engineer,ECE,Haridwar,Uttarakhand,North
3084,2016,Embedded system engineer,ECE,Visakhapatnam,Andhra Pradesh,South
3085,2019,Telecom engineer,ECE,Mumbai,Maharashtra,Central
3086,2015,Automation engineer,MEC,Ranchi,Jharkhnad,Central
3087,2018,Land surveyor,CIV,Hyderabad,Telangana,South
3088,2013,Service engineer,ECE,Shimla,Himachal Pradesh,North
3089,2016,Chemical plant director,CHEM,Bhubaneswar,Orissa,Central
3090,2013,Land surveyor,CIV,Jodhpur,Rajasthan,West
3091,2015,Environmental engineer,CIV,Bhopal,Madhya Pradesh,Central
3092,2015,AI engineer,CSE/IT,Raipur,Chattisgarh,Central
3093,2012,Electronics design engineer,ECE,Shillong,Seven Sisters,East
3094,2013,Public health engineer,CIV,Allahabad,Uttar Pradesh,North
3095,2012,Process safety engineer,CHEM,Patna,Bihar,Central
3096,2012,Petroleum engineer,CHEM,Gangtok,Seven Sisters,East
3097,2016,Environmental waste management,CHEM,Ahmedabad,Gujarat,West
3098,2020,Process design engineer,CHEM,Aizawal,Seven Sisters,East
3099,2013,Software developer,CSE/IT,Imphal,Seven Sisters,East
3100,2014,technician,CHEM,Chennai,Tamil Nadu,South
3101,2021,Public health engineer,CIV,Gwalior,Madhya Pradesh,Central
3102,2012,Land surveyor,CIV,Imphal,Seven Sisters,East
3103,2020,Instrumentation engineer,ECE,Amritsar,Punjab,North
3104,2021,Manufacturing engineer,MEC,Shillong,Seven Sisters,East
3105,2013,Quality engineer,MEC,Bengaluru,Karnataka,South
3106,2012,Manufacturing engineer,MEC,Mumbai,Maharashtra,Central
3107,2011,Electrical project manager,EEE,Kochi,Kerala,South
3108,2013,Telecom engineer,ECE,Khammam,Telangana,South
3109,2021,Substation technician,EEE,Amritsar,Punjab,North
3110,2021,Urban planning engineer,CIV,Kochi,Kerala,South
3111,2016,Environmental engineer,CIV,Ahmedabad,Gujarat,West
3112,2016,Web developer,CSE/IT,Visakhapatnam,Andhra Pradesh,South
3113,2021,Plant process engineer,CHEM,Vellore,Tamil Nadu,South
3114,2017,IT project manager,CSE/IT,Kochi,Kerala,South
3115,2020,Software developer,CSE/IT,Indore,Madhya Pradesh,Central
3116,2017,Process design engineer,CHEM,Khammam,Telangana,South
3117,2013,Management consultant,MEC,Khammam,Telangana,South
3118,2017,Instrumentation engineer,ECE,Kochi,Kerala,South
3119,2016,Network planning engineer,ECE,Howrah,West Bengal,East
3120,2018,Environmental engineer,CIV,Bilaspur,Himachal Pradesh,North
3121,2014,IT project manager,CSE/IT,Ahmedabad,Gujarat,West
3122,2015,System architect,CSE/IT,Chandigarh,Punjab,North
3123,2019,App developer,CSE/IT,Vadodara,Gujarat,West
3124,2017,Environmental engineer,CIV,Guwahati,Seven Sisters,East
3125,2015,Thermal engineer,MEC,Durgapur,West Bengal,East
3126,2021,Process design engineer,CHEM,Nagpur,Maharashtra,Central
3127,2011,Architect,CIV,Mysore,Karnataka,South
3128,2017,Electrical engineer,EEE,Lucknow,Uttar Pradesh,North
3129,2021,Thermal engineer,MEC,Puri,Orissa,Central
3130,2014,Communication engineer,ECE,Vellore,Tamil Nadu,South
3131,2013,Network planning engineer,ECE,Bengaluru,Karnataka,South
3132,2014,Field test engineer,ECE,Panaji,Goa,South
3133,2014,Manufacturing engineer,MEC,Raipur,Chattisgarh,Central
3134,2020,Plant process engineer,CHEM,Nellore,Andhra Pradesh,South
3135,2018,Thermal engineer,MEC,Udaipur,Rajasthan,West
3136,2019,Quality engineer,MEC,Bengaluru,Karnataka,South
3137,2018,Material engineer,CHEM,Pune,Maharashtra,Central
3138,2011,Plant process engineer,CHEM,Jaipur,Rajasthan,West
3139,2014,Thermal engineer,MEC,Puri,Orissa,Central
3140,2015,Web developer,CSE/IT,Lucknow,Uttar Pradesh,North
3141,2016,Construction manager,CIV,Gangtok,Seven Sisters,East
3142,2018,Electrical project manager,EEE,Dharwad,Karnataka,South
3143,2011,Structural engineer,MEC,Shillong,Seven Sisters,East
3144,2017,Aerospace engineer,MEC,Ranchi,Jharkhnad,Central
3145,2011,Product designer,MEC,Nellore,Andhra Pradesh,South
3146,2019,Process design engineer,CHEM,Thiruvananthapuram,Kerala,South
3147,2014,Environmental waste management,CHEM,Panaji,Goa,South
3148,2018,Engineering management,CIV,Kohina,Seven Sisters,East
3149,2019,AI engineer,CSE/IT,Patna,Bihar,Central
3150,2013,Microelectrical engineer,EEE,Gangtok,Seven Sisters,East
3151,2012,Electrical project manager,EEE,Gwalior,Madhya Pradesh,Central
3152,2016,Electrical design engineer,EEE,Gangtok,Seven Sisters,East
3153,2011,Embedded system engineer,ECE,Kanpur,Uttar Pradesh,North
3154,2012,IT project manager,CSE/IT,Warangal,Telangana,South
3155,2019,Hardware engineer,EEE,Guwahati,Seven Sisters,East
3156,2018,Hardware engineer,EEE,Vijayawada,Andhra Pradesh,South
3157,2016,Chemical engineer,CHEM,Kanpur,Uttar Pradesh,North
3158,2016,Drafter,CIV,Gurgaon,Haryana,West
3159,2014,Database administrator,CSE/IT,Shillong,Seven Sisters,East
3160,2016,App developer,CSE/IT,Dispur,Seven Sisters,East
3161,2016,App developer,CSE/IT,Shimla,Himachal Pradesh,North
3162,2018,IT project manager,CSE/IT,Puri,Orissa,Central
3163,2018,Software analyst,ECE,Dhanbad,Jharkhnad,Central
3164,2020,Computer network architect,CSE/IT,Durgapur,West Bengal,East
3165,2014,Petroleum engineer,CHEM,Pune,Maharashtra,Central
3166,2018,Environmental engineer,CIV,Gurgaon,Haryana,West
3167,2016,Environmental waste management,CHEM,Udaipur,Rajasthan,West
3168,2011,Information security analyst,CSE/IT,Shimla,Himachal Pradesh,North
3169,2018,Architect,CIV,Gaya,Bihar,Central
3170,2020,Thermal engineer,MEC,Gurgaon,Haryana,West
3171,2012,Instrumentation engineer,ECE,Puri,Orissa,Central
3172,2017,System architect,CSE/IT,Hyderabad,Telangana,South
3173,2014,Electrical design engineer,EEE,Bhubaneswar,Orissa,Central
3174,2020,Production engineer,MEC,Mysore,Karnataka,South
3175,2016,Electronics design engineer,ECE,Thiruvananthapuram,Kerala,South
3176,2014,Management consultant,MEC,Dharwad,Karnataka,South
3177,2013,Thermal engineer,MEC,Imphal,Seven Sisters,East
3178,2014,technician,CHEM,Aizawal,Seven Sisters,East
3179,2014,Construction engineer,MEC,Ahmedabad,Gujarat,West
3180,2018,Web developer,CSE/IT,Bengaluru,Karnataka,South
3181,2018,technician,CHEM,Kochi,Kerala,South
3182,2021,Quality engineer,MEC,Patna,Bihar,Central
3183,2018,Service engineer,ECE,Jalandhar,Punjab,North
3184,2021,Information security analyst,CSE/IT,Bengaluru,Karnataka,South
3185,2016,Broadcast engineer,EEE,Ranchi,Jharkhnad,Central
3186,2016,Drafter,CIV,Nellore,Andhra Pradesh,South
3187,2018,App developer,CSE/IT,Dispur,Seven Sisters,East
3188,2015,Quality engineer,MEC,Silchar,Seven Sisters,East
3189,2014,Production engineer,MEC,Kanpur,Uttar Pradesh,North
3190,2021,Electrical project manager,EEE,Patna,Bihar,Central
3191,2017,Environmental waste management,CHEM,Surat,Gujarat,West
3192,2021,Electronics engineer,ECE,Rourkela,Orissa,Central
3193,2015,Process design engineer,CHEM,Gaya,Bihar,Central
3194,2017,Electrical design engineer,EEE,Allahabad,Uttar Pradesh,North
3195,2016,Computer network architect,CSE/IT,Bhubaneswar,Orissa,Central
3196,2016,Network planning engineer,ECE,Surat,Gujarat,West
3197,2011,Petroleum engineer,CHEM,Haridwar,Uttarakhand,North
3198,2017,Network planning engineer,ECE,Dhanbad,Jharkhnad,Central
3199,2019,Software developer,CSE/IT,Warangal,Telangana,South
3200,2012,UX designer,CSE/IT,Dispur,Seven Sisters,East
3201,2016,Database administrator,CSE/IT,Gwalior,Madhya Pradesh,Central
3202,2021,Database administrator,CSE/IT,Noida,Uttar Pradesh,North
3203,2013,Information security analyst,CSE/IT,Vijayawada,Andhra Pradesh,South
3204,2017,Embedded system engineer,ECE,Ahmedabad,Gujarat,West
3205,2020,Network planning engineer,ECE,Jaipur,Rajasthan,West
3206,2012,UX designer,CSE/IT,Bhubaneswar,Orissa,Central
3207,2013,Structural engineer,MEC,Roorkee,Uttarakhand,North
3208,2011,Geotechnical engineer,CIV,Visakhapatnam,Andhra Pradesh,South
3209,2017,Aerospace engineer,MEC,Rourkela,Orissa,Central
3210,2014,Environmental engineer,CIV,Thiruvananthapuram,Kerala,South
3211,2021,Electrical design engineer,EEE,Srinagar,Jammu and Kashmir,North
3212,2014,Electronics engineer,ECE,Silchar,Seven Sisters,East
3213,2011,Chemical engineer,CHEM,Roorkee,Uttarakhand,North
3214,2018,Environmental waste management,CHEM,Panaji,Goa,South
3215,2011,Process design engineer,CHEM,Noida,Uttar Pradesh,North
3216,2014,Web developer,CSE/IT,Guwahati,Seven Sisters,East
3217,2014,Systems engineer,EEE,Bengaluru,Karnataka,South
3218,2015,Software analyst,ECE,Dhanbad,Jharkhnad,Central
3219,2014,Telecommunication engineer,EEE,Ahmedabad,Gujarat,West
3220,2019,Database administrator,CSE/IT,Imphal,Seven Sisters,East
3221,2012,Microelectrical engineer,EEE,Dehradun,Uttarakhand,North
3222,2015,Management consultant,MEC,Hyderabad,Telangana,South
3223,2013,Process safety engineer,CHEM,Chennai,Tamil Nadu,South
3224,2021,App developer,CSE/IT,Lucknow,Uttar Pradesh,North
3225,2012,Process design engineer,CHEM,Pune,Maharashtra,Central
3226,2020,Controls engineer,EEE,Shimla,Himachal Pradesh,North
3227,2017,Electrical project manager,EEE,Lucknow,Uttar Pradesh,North
3228,2014,Controls engineer,EEE,Nellore,Andhra Pradesh,South
3229,2012,AI engineer,CSE/IT,Visakhapatnam,Andhra Pradesh,South
